east,north,zygosity,twin1,twin2
1,1,1,1.5299619577377,1.46521290544854
1,1,2,-0.207631836013366,0.146292349724523
1,1,2,-0.231865130931285,-1.5338934739197
2,1,1,0.774833281220211,1.09312120672477
2,1,2,0.155525641206181,-0.931847518698268
2,1,2,0.0156304929290078,-1.2367880249388
3,1,1,-0.817714469747871,-1.00090216588037
3,1,2,0.113601113014327,0.410565772128619
3,1,2,-1.5734908970056,0.184659134019065
4,1,1,1.33625729929246,0.729495368753666
4,1,2,-1.38019869886493,-2.43100100934247
4,1,2,-0.274908141653419,-0.258988402939756
5,1,1,0.711415267074701,0.23997509759644
5,1,2,1.03331474536206,-1.23784841766856
5,1,2,-0.739343753272846,-0.432836709655569
6,1,1,1.04712522728668,1.03487754880433
6,1,2,-0.356226561058969,0.69118127545955
6,1,2,1.56099529734194,0.302436156148787
7,1,1,-0.484162717328684,-0.212387198372389
7,1,2,-1.28889596105703,-1.33884493903709
7,1,2,-2.23580604131814,-0.934112924404615
8,1,1,-0.259190417071529,-0.332879414107453
8,1,2,0.633475026890125,1.17845354794387
8,1,2,-0.172739334478925,-0.248370502329982
9,1,1,1.70078926565154,1.54456813750833
9,1,2,-0.732279375177594,0.137993628233888
9,1,2,0.155058550988127,1.83904073027536
10,1,1,0.00610297690016574,0.106234992269535
10,1,2,-1.01320616572234,0.11555401938879
10,1,2,1.0333016036408,0.124772153583919
11,1,1,-0.0859257504345302,0.998757969648032
11,1,2,1.06023998106758,2.04426828564601
11,1,2,-0.561066107475116,1.07845845369572
12,1,1,1.02372264998447,0.557990976398473
12,1,2,0.933993240961193,0.492757134125027
12,1,2,-0.324362244205458,-1.25297884311148
13,1,1,-1.04562922741845,-0.607613423312689
13,1,2,2.70985618017365,2.01493338407366
13,1,2,0.199372117439868,-0.581624056484027
14,1,1,-1.03415057465069,-1.22231720678117
14,1,2,-0.484579499744368,-1.94935125508337
14,1,2,0.873442396984526,0.391230348854376
15,1,1,0.932688994904662,-0.174082910343527
15,1,2,0.12865277197743,-0.750664302975626
15,1,2,1.50198332324044,0.677259255123349
16,1,1,-0.313132416886656,-0.911406988077394
16,1,2,0.523968242116945,1.11864080184965
16,1,2,1.53766176108634,1.09918174404073
17,1,1,0.553322894708027,1.54138271913186
17,1,2,-0.329608488895447,-0.499493475060696
17,1,2,1.81784547871024,1.02719653553198
18,1,1,-0.39502494447065,-1.08316486380989
18,1,2,-0.98251790879794,-0.0930650904842385
18,1,2,-0.0698922869133299,1.36652926233081
